user_id,full_name,email,signup_date,country,acquisition_channel,subscription_tier,status
1,Patrick Sanchez,jillrhodes@example.net,2024-09-05,Canada,Organic Search,Basic,Active
2,Amanda Davis,williamjohnson@example.org,2024-02-03,Canada,Social Media,Pro,Active
3,Kimberly Robinson,lisa02@example.net,2024-10-05,Australia,Organic Search,Basic,Active
4,Christopher Bernard,curtis61@example.com,2024-06-13,Germany,Organic Search,Basic,Active
5,Dennis Williams,yherrera@example.org,2024-11-25,Germany,Referral,Basic,Active
6,Mark Mcclure,barbara10@example.net,2024-08-02,Canada,Social Media,Basic,Active
7,Victoria Wyatt,jamesshawn@example.com,2024-03-29,United Kingdom,Organic Search,Enterprise,Active
8,Daniel Adams,lynchgeorge@example.net,2024-03-04,Canada,Referral,Basic,Active
9,James Mayo,gabriellecameron@example.org,2024-04-05,United Kingdom,Paid Ads,Pro,Active
10,Renee Morales,clarksherri@example.net,2024-03-29,Australia,Organic Search,Basic,Active
11,Jonathan Wilkerson,ithomas@example.org,2024-05-02,United Kingdom,Referral,Pro,Active
12,Deborah Richards,icox@example.net,2024-10-16,United States,Social Media,Enterprise,Churned
13,Anthony Rodriguez,laurahenderson@example.org,2024-07-10,Canada,Referral,Basic,Active
14,Zachary Rice,frazierdanny@example.net,2024-05-29,United States,Referral,Basic,Active
15,Martin Rodriguez,amoore@example.net,2024-10-18,Canada,Social Media,Basic,Active
16,Valerie Gill,harrellkenneth@example.net,2024-12-06,United States,Referral,Basic,Churned
17,Brittany Farmer,georgetracy@example.org,2024-07-16,Germany,Organic Search,Basic,Active
18,William Roman,brianhumphrey@example.org,2024-12-26,Canada,Organic Search,Basic,Active
19,Rose Spence,davidalvarez@example.net,2024-02-03,United Kingdom,Organic Search,Enterprise,Active
20,Shane Henderson,sarahcampos@example.net,2024-03-05,United Kingdom,Organic Search,Basic,Churned
21,Jennifer Powers,samuel87@example.org,2024-03-19,Australia,Organic Search,Basic,Active
22,George Chapman,briannasmith@example.net,2024-04-06,Germany,Organic Search,Basic,Churned
23,Austin Johnson,chad34@example.net,2024-09-02,Australia,Referral,Enterprise,Active
24,Carlos Walls,esanchez@example.com,2024-07-07,Australia,Organic Search,Basic,Active
25,Matthew Gomez,uowens@example.org,2024-03-14,United States,Social Media,Basic,Active
26,Maria Brown,lauren13@example.org,2024-09-18,Australia,Referral,Basic,Active
27,Brenda White,ewright@example.com,2024-03-14,Germany,Paid Ads,Basic,Active
28,Krista Williams,novaksara@example.org,2024-11-09,Germany,Social Media,Pro,Active
29,John Hancock,martinaaron@example.com,2024-03-05,United Kingdom,Referral,Basic,Churned
30,Rachel Mitchell,smoore@example.org,2024-04-12,United Kingdom,Partner Program,Pro,Active
31,Kimberly Adkins,williamsthomas@example.net,2024-01-23,Canada,Paid Ads,Basic,Active
32,Jordan York,larsonemma@example.org,2024-03-02,Germany,Organic Search,Basic,Active
